Feature,Test case,Notes (bugs),Pass,Fail,N/A
Feature 0,Testcase 0,comment,0,1,0
Feature 0,Testcase 1,comment,0,0,1
Feature 0,Testcase 2,comment,1,0,0
Feature 0,Testcase 3,comment,1,0,0
Feature 0,Testcase 4,comment,0,1,0
Feature 0,Testcase 5,comment,0,0,1
Feature 0,Testcase 6,comment,1,0,0
Feature 0,Testcase 7,comment,0,0,1
Feature 0,Testcase 8,comment,0,0,1
Feature 0,Testcase 9,comment,1,0,0
Feature 1,Testcase 0,comment,0,1,0
Feature 1,Testcase 1,comment,0,0,1
Feature 1,Testcase 2,comment,0,0,1
Feature 1,Testcase 3,comment,0,0,1
Feature 1,Testcase 4,comment,1,0,0
Feature 1,Testcase 5,comment,0,0,1
Feature 1,Testcase 6,comment,0,0,1
Feature 1,Testcase 7,comment,1,0,0
Feature 1,Testcase 8,comment,0,0,1
Feature 1,Testcase 9,comment,0,1,0
Feature 2,Testcase 0,comment,1,0,0
Feature 2,Testcase 1,comment,0,1,0
Feature 2,Testcase 2,comment,0,0,1
Feature 2,Testcase 3,comment,1,0,0
Feature 2,Testcase 4,comment,0,0,1
Feature 2,Testcase 5,comment,0,0,1
Feature 2,Testcase 6,comment,0,0,1
Feature 2,Testcase 7,comment,1,0,0
Feature 2,Testcase 8,comment,0,1,0
Feature 2,Testcase 9,comment,0,0,1
Feature 3,Testcase 0,comment,1,0,0
Feature 3,Testcase 1,comment,0,1,0
Feature 3,Testcase 2,comment,0,0,1
Feature 3,Testcase 3,comment,0,0,1
Feature 3,Testcase 4,comment,1,0,0
Feature 3,Testcase 5,comment,1,0,0
Feature 3,Testcase 6,comment,0,0,1
Feature 3,Testcase 7,comment,0,1,0
Feature 3,Testcase 8,comment,1,0,0
Feature 3,Testcase 9,comment,0,1,0
Feature 4,Testcase 0,comment,0,1,0
Feature 4,Testcase 1,comment,0,1,0
Feature 4,Testcase 2,comment,0,0,1
Feature 4,Testcase 3,comment,0,1,0
Feature 4,Testcase 4,comment,1,0,0
Feature 4,Testcase 5,comment,0,1,0
Feature 4,Testcase 6,comment,0,1,0
Feature 4,Testcase 7,comment,1,0,0
Feature 4,Testcase 8,comment,0,1,0
Feature 4,Testcase 9,comment,1,0,0
Feature 5,Testcase 0,comment,1,0,0
Feature 5,Testcase 1,comment,0,0,1
Feature 5,Testcase 2,comment,0,1,0
Feature 5,Testcase 3,comment,0,0,1
Feature 5,Testcase 4,comment,1,0,0
Feature 5,Testcase 5,comment,0,0,1
Feature 5,Testcase 6,comment,0,1,0
Feature 5,Testcase 7,comment,1,0,0
Feature 5,Testcase 8,comment,0,0,1
Feature 5,Testcase 9,comment,0,1,0
Feature 6,Testcase 0,comment,0,1,0
Feature 6,Testcase 1,comment,0,1,0
Feature 6,Testcase 2,comment,1,0,0
Feature 6,Testcase 3,comment,0,1,0
Feature 6,Testcase 4,comment,0,0,1
Feature 6,Testcase 5,comment,0,0,1
Feature 6,Testcase 6,comment,1,0,0
Feature 6,Testcase 7,comment,1,0,0
Feature 6,Testcase 8,comment,0,0,1
Feature 6,Testcase 9,comment,0,1,0
Feature 7,Testcase 0,comment,0,0,1
Feature 7,Testcase 1,comment,0,1,0
Feature 7,Testcase 2,comment,0,1,0
Feature 7,Testcase 3,comment,0,0,1
Feature 7,Testcase 4,comment,1,0,0
Feature 7,Testcase 5,comment,0,0,1
Feature 7,Testcase 6,comment,0,0,1
Feature 7,Testcase 7,comment,1,0,0
Feature 7,Testcase 8,comment,0,0,1
Feature 7,Testcase 9,comment,1,0,0
Feature 8,Testcase 0,comment,0,0,1
Feature 8,Testcase 1,comment,0,1,0
Feature 8,Testcase 2,comment,0,1,0
Feature 8,Testcase 3,comment,0,0,1
Feature 8,Testcase 4,comment,0,1,0
Feature 8,Testcase 5,comment,0,1,0
Feature 8,Testcase 6,comment,1,0,0
Feature 8,Testcase 7,comment,0,0,1
Feature 8,Testcase 8,comment,0,1,0
Feature 8,Testcase 9,comment,1,0,0
Feature 9,Testcase 0,comment,1,0,0
Feature 9,Testcase 1,comment,1,0,0
Feature 9,Testcase 2,comment,0,0,1
Feature 9,Testcase 3,comment,0,1,0
Feature 9,Testcase 4,comment,0,1,0
Feature 9,Testcase 5,comment,0,0,1
Feature 9,Testcase 6,comment,0,1,0
Feature 9,Testcase 7,comment,1,0,0
Feature 9,Testcase 8,comment,0,1,0
Feature 9,Testcase 9,comment,0,0,1
